school_code,school_name,district,address,grade_class,class_regular,class_special,class_total,research_topic,research_year,research_total_years,ib_stage,future_year,future_total_years,latitude,longitude
7271059,대구성서초등학교,남부,대구광역시 달서구 달구벌대로 1339 ,다,12,1,13, ,,,관심,, ,35.85213791,128.5140985
7271088,대구성지초등학교,남부,대구광역시 달서구 새동네로 27 ,나,13,1,14, ,,, ,, ,35.85324804,128.5190244
7281105,대구세천초등학교,달성,대구광역시 달성군 다사읍 세천로 182-9,나,56,2,58, ,,, ,, ,35.87434699,128.4814697
7281111,대구세현초등학교,달성,대구광역시 달성군 구지면 국가산단대로66길 10 ,라,54,3,57, ,,, ,, ,35.65990781,128.419626
7271080,대구송일초등학교,남부,대구광역시 달서구 학산로2길 38,나,17,1,18, ,,, ,, ,35.82413307,128.5328213
7251079,대구송정초등학교,동부,대구광역시 동구 안심로90길 9,다,29,2,31, ,,, ,, ,35.87060567,128.7340252
7271063,대구송현초등학교,남부,대구광역시 달서구 송현로 128 ,다,12,1,13, ,,, ,, ,35.82868737,128.5448311
7251053,대구수성초등학교,동부,대구광역시 수성구 상화로5길 40 ,가,28,1,29, ,,, ,, ,35.83685579,128.6101597
7251048,대구수창초등학교,동부,대구광역시 중구 달성로22길 30 ,다,44,2,46, ,,, ,1,4,35.8742603,128.5834453
7251080,대구숙천초등학교,동부,대구광역시 동구 숙천로 17,다,26,1,27, ,,, ,, ,35.87696975,128.7533077
7251102,대구시지초등학교,동부,대구광역시 수성구 달구벌대로631길 17 ,다,9,2,11, ,,, ,, ,35.84381421,128.7032311
7271085,대구신당초등학교,남부,대구광역시 달서구 서당로 14 ,라,6,2,8, ,,, ,3,4,35.85329484,128.496288
7251101,대구신매초등학교,동부,대구광역시 수성구 달구벌대로650길 26 ,나,19,1,20, ,,, ,, ,35.83660884,128.7092663
7271094,대구신서초등학교,남부,대구광역시 달서구 계대동문로3길 46 ,라,9,1,10,학교자율성(IB후보),1,2,후보,, ,35.85793519,128.4947454
7251083,대구신성초등학교,동부,대구광역시 동구 동북로71길 29 ,다,26,1,27, ,,, ,, ,35.89012123,128.6289247
7261045,대구신암초등학교,서부,대구광역시 북구 경대로 21,가,23,2,25, ,,,관심,, ,35.88385166,128.6119505
7271106,대구신월초등학교,남부,대구광역시 달서구 조암남로 100 ,가,37,1,38, ,,, ,, ,35.82056973,128.5221495
7251061,대구신천초등학교,동부,대구광역시 동구 송라로6길 5,가,34,1,35, ,,, ,, ,35.871656,128.6210089
7271053,대구신흥초등학교,남부,대구광역시 달서구 두류공원로 257,다,15,1,16, ,,, ,, ,35.85636331,128.5563376
7251062,대구아양초등학교,동부,대구광역시 동구 아양로 221 ,라,11,1,12, ,,, ,, ,35.88749844,128.6375337
7251078,대구안일초등학교,동부,대구광역시 동구 율하동로23길 66 ,다,25,1,26,대용부설,2,3, ,1,4,35.87136914,128.6953003
7261225,대구연경초등학교,서부,대구광역시 북구 연경중앙로11길 19,나,32,1,33, ,,, ,, ,35.94573483,128.616056
7271051,대구영선초등학교,남부,대구광역시 남구 영선길 96 ,다,20,2,22, ,,,월드,, ,35.85296211,128.5958575
7261050,대구옥산초등학교,서부,대구광역시 북구 칠성시장로23길 55 ,가,30,2,32, ,,, ,, ,35.88114343,128.5988828
7281018,대구옥포초등학교,달성,대구광역시 달성군 옥포읍 비슬로 2220 ,다,12,1,13, ,,, ,, ,35.78778718,128.4641599
7271086,대구와룡초등학교,남부,대구광역시 달서구 선원남로 22,나,20,3,23, ,,,관심,, ,35.85707321,128.5018563
7281040,대구왕선초등학교,달성,대구광역시 달성군 다사읍 대실역북로 93,가,24,1,25, ,,, ,, ,35.86319531,128.465206
7281030,대구용계초등학교,달성,대구광역시 달성군 가창면 가창로221길 1,가,15,1,16, ,,, ,, ,35.80456757,128.6216025
